id,description,category,subcategory,detail,n_stones,n_black,n_white,first_point,stones_go,sequence,derived_from,paper_notes,board_flat,rank_change,desc_2007a,stones_2007a,board_flat_2007a
1b,4-4 hoshi,apertura,hoshi,4-4,1,1,0,D6,B:D6,1.B:D6,,The 4-4 star point remains most frequent.,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",estable,"Hoshi 4-4 — sin cambio, sigue siendo el mas frecuente",B:D6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2b,3-4 komoku,apertura,komoku,3-4,1,1,0,D7,B:D7,1.B:D7,,Komoku (3-4) also remains as second most frequent pattern.,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",estable,"Komoku 3-4 — sin cambio, sigue siendo el 2do mas frecuente",B:D7,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3b,Approach bajo a 3-4,approach,bajo a komoku,keima,2,1,1,D7,B:F6  W:D7,1.W:D7  2.B:F6,,A low approach to a 3-4 point is nowadays more urgent than both a low approach to 4-4 (pattern 3a) and a high approach to a 3-4 (pattern 4a).,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",descendio,Approach bajo a 4-4 hoshi (en 2025 sustituido por approach bajo a 3-4),B:F6  W:D6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4b,Invasion san-san (3-3) a hoshi,invasion,san-san a hoshi,3-3,2,1,1,D6,B:C7  W:D6,1.W:D6  2.B:C7,,A san-san invasion is more urgent than a high approach to an opponent's komoku.,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",descendio,Approach alto a komoku — superado por invasion san-san (mismo que 11b en 2025),B:E5  W:D7,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5b,Joseki san-san — invader en gote,joseki,san-san gote,5 jugadas,5,2,3,D6,"B:C7,B6  W:D6,C6,B7",1.W:D6  2.B:C7  3.W:C6  4.W:B7  5.B:B6,4b,"This standard sequence after a san-san invasion leaves the invader in gote, suggesting the invaded stone may reply with tennuki before extending.","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",ampliado,"Invasion san-san a hoshi (2007: solo inicio, 2025: joseki completo de 5 jugadas)",B:C7  W:D6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6b,Extension blanca tras joseki,joseki,extension,6 jugadas,6,2,4,D6,"B:C7,B6  W:D6,C6,B7,C5",1.W:D6  2.B:C7  3.W:C6  4.W:B7  5.B:B6  6.W:C5,5b,"Once white extends, it is less likely that black will tennuki, considering the result of pattern 5b.","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",nuevo,Approach a cercado 4-4 (en 2025 vease patron 8b),"B:D6,F7  W:G6","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7b,Approach bajo a 4-4,approach,bajo a hoshi,kosumi,2,1,1,D6,B:F5  W:D6,1.W:D6  2.B:F5,,"A low approach to the 4-4 is now less frequent than a san-san invasion, see pattern 5a.","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",estable,"Approach bajo a 4-4, keima oblicuo — permanece en rango 7, menos frecuente vs san-san",B:F5  W:D6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8b,Approach a cercado desde 4-4,approach,a cercado 4-4,3 piedras,3,2,1,D6,"B:D6,F7  W:G5",1.B:D6  2.B:F7  3.W:G5,,"This approach resembles the joseki pattern in 6a but is actually a low approach to the opponent's enclosure from the 4-4 point. The fact that this enclosure pattern does not appear without the approach, suggests this move follows most of the time.","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",nuevo,"Patron en rango 8 (2007) — 8b actual ""se asemeja al joseki 6a""",?,?
9b,Joseki san-san — variante,joseki,san-san var A,5 jugadas,5,2,3,D6,"B:C7,C8  W:D6,C6,B7",1.W:D6  2.B:C7  3.W:C6  4.W:B7  5.B:C8,5b,"A joseki continuation to pattern 5b, not as frequent.","0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",nuevo,Joseki komoku+san-san (era rango 9 en 2007; descendio a rango 18 como 18b),"B:C7,D8  W:D7,C8","0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10b,Salto doble desde komoku (cercado),enclosure,moyo komoku,salto doble,2,2,0,D7,"B:D7,F7",1.B:D7  2.B:F7,2b,Two space jump from komoku appears as the most urgent form of enclosing a corner.,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",ascendio,Salto simple desde komoku (en era IA el salto doble 10b es preferido),"B:D7,E7","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
